word1	word2	anc1	anc2	fsg	bsg	con1	con2	nphon1	nphon2	easiness	index
afraid	scare	6.821	5.38	0.604	0.123	3.32	4.07	5	4	9.699	1065
surgeon	doctor	5.257	7.196	0.479	0.04	6	5.75	5	5	9.694	62836
dime	nickel	4.454	4.554	0.527	0.469	5.78	5.84	3	5	9.675	18108
atom	bomb	4.625	6.644	0.586	0	4.77	5.91	4	3	9.659	3284
truck	car	6.542	8.55	0.264	0.111	7	6.35	4	3	9.617	66858
shoes	socks	6.644	5.106	0.307	0.655	6.63	5.46	3	4	9.61	56784
university	college	8.329	8.18	0.257	0.105	5.87	5.35	10	5	9.593	67960
rob	steal	5.886	5.684	0.669	0.072	3.29	3.59	3	4	9.58	53399
seed	plant	5.602	7.493	0.436	0.039	5.9	5.98	3	5	9.564	55760
village	town	7.163	8.392	0.293	0.051	6.69	5.52	5	3	9.564	69074
brain	head	7.752	8.426	0.278	0.082	5.32	5.98	4	3	9.558	7099
cabin	log	5.204	6.562	0.415	0.109	6.96	6.86	5	3	9.512	8501
finger	hand	6.146	8.342	0.268	0.358	6.2	5.6	5	4	9.457	24103
sugar	sweet	6.565	6.946	0.433	0.061	6.35	4.53	4	4	9.391	62386
insect	bug	5.147	5.557	0.488	0.201	5.78	6.4	6	3	9.345	32903
round	square	7.209	7.463	0.394	0.128	4.34	5.15	4	5	9.341	53800
sound	noise	7.827	6.562	0.362	0.147	5.28	5.29	4	3	9.315	59280
atlas	map	4.663	6.964	0.527	0.024	5.74	5.53	5	3	9.252	3260
hawk	bird	4.804	6.471	0.529	0	6.1	5.77	3	3	9.211	29783
dollar	money	6.989	9.128	0.277	0.051	5.68	5.77	4	4	9.21	19204
rat	mouse	6.979	7.535	0.318	0.087	6.11	6.12	3	3	9.195	50995
yacht	boat	4.443	6.764	0.594	0.031	3.35	6.33	3	3	9.182	71818
eagle	bird	5.525	6.471	0.486	0.051	5.63	5.77	4	3	9.123	20299
jail	prison	6.41	7.026	0.261	0.424	5.84	6.62	3	6	9.113	33714
wings	bird	5.652	6.471	0.476	0.035	5.82	5.77	4	3	9.08	71065
employer	boss	5.945	6.837	0.387	0.122	6.04	6.35	6	3	9.048	21185
dune	sand	4.078	6.284	0.568	0.016	5.52	6.25	3	4	9.022	20135
loaf	bread	4.007	6.378	0.552	0.051	5.68	6.18	3	4	8.972	36825
peel	orange	4.956	6.435	0.571	0	4.28	5.74	3	5	8.902	45591
scent	smell	4.585	6.301	0.625	0.029	4.58	4.4	4	4	8.864	55036
abdomen	stomach	3.638	5.935	0.566	0.021	6.83	6.04	7	6	8.855	27
elbow	arm	4.745	6.94	0.476	0	6.94	5.53	4	3	8.841	20768
flu	sick	4.942	6.941	0.585	0.024	4.8	3.89	3	3	8.832	24764
soccer	ball	6.023	7.24	0.424	0.027	5.05	6.08	4	3	8.806	58819
cruise	ship	6.19	6.335	0.449	0.016	5.23	6.25	4	3	8.761	15428
thigh	leg	4.234	6.271	0.518	0.012	6.74	6.04	2	3	8.74	64817
crow	bird	4.745	6.471	0.538	0	5.33	5.77	3	3	8.707	15370
herd	cow	4.625	6.023	0.562	0	5.05	6.12	3	2	8.672	30330
rose	flower	6.893	5.841	0.363	0.248	5.86	5.62	3	4	8.668	53713
corridor	hall	4.868	7.312	0.401	0.103	6.03	6.72	6	3	8.66	14204
laugh	cry	6.509	6.68	0.479	0.116	4.29	4.32	3	3	8.657	35398
ride	horse	6.829	6.486	0.372	0.261	4.14	6.03	3	4	8.652	53047
noisy	loud	5.226	6.078	0.671	0	2.93	3.93	4	3	8.634	42247
highway	road	6.405	7.88	0.345	0.061	5.95	5.48	4	3	8.594	30515
nicotine	cigarette	5.118	5.844	0.525	0	5.63	6.03	7	6	8.593	42154
tub	bath	5.011	5.961	0.493	0.091	5.9	5.9	3	3	8.579	66992
artery	vein	5.493	5.565	0.417	0.326	6.28	5.49	5	3	8.571	2866
jeans	pants	5.911	6.562	0.372	0.136	6.35	6.15	4	5	8.446	33830
ounce	pound	5.204	6.133	0.533	0.115	4.98	4.7	3	4	8.426	43822
sober	drunk	4.852	5.951	0.613	0.035	4.11	4.65	4	5	8.362	58809
injury	hurt	6.455	7.153	0.448	0.042	5.51	3.66	5	3	8.231	32794
orange	juice	6.435	5.916	0.235	0.655	5.74	6	5	3	8.21	43537
student	teacher	7.525	7.007	0.226	0.189	6.38	6.38	7	4	8.169	62028
cattle	cow	5.472	6.023	0.439	0	6.79	6.12	5	2	8.157	9721
lawn	grass	6.073	6.441	0.397	0.087	5.76	5.93	3	4	8.088	35476
property	land	7.195	7.683	0.275	0.041	5.99	6.07	7	4	8.065	49536
ski	snow	5.472	6.957	0.412	0.038	5.77	6.05	3	3	8.015	57709
window	glass	7.033	7.22	0.256	0.144	6.27	6.31	5	4	8.009	71019
