order	word1	word2	word1e	word2e	easiness
475	toilet	sink	5.872	6.616	6.244
1686	sheep	goat	6.139	6.348	6.244
256	able	try	4.337	8.091	6.214
577	channel	radio	5.326	7.095	6.21
1647	fuel	gas	5.139	7.26	6.2
1834	ear	whisper	8.52	3.879	6.2
1937	bill	tax	7.151	5.237	6.194
692	canoe	boat	3.902	8.397	6.149
1446	pick	choose	7.259	5.038	6.149
1437	boy	lad	9.645	2.644	6.145
800	mat	floor	5.086	7.203	6.144
1115	butter	bread	5.017	7.259	6.138
1224	soda	juice	6.083	6.189	6.136
1214	phone	dial	8.324	3.935	6.13
1233	kill	hurt	5.978	6.247	6.112
1657	village	town	4.166	8.047	6.106
1114	far	mile	6.898	5.308	6.103
491	pour	glass	4.463	7.725	6.094
919	poster	wall	3.152	9.029	6.091
893	art	painting	6.766	5.41	6.088
913	leader	team	5.165	6.999	6.082
1685	dust	dirt	5.8	6.361	6.08
890	movie	drama	9.326	2.826	6.076
1643	meal	menu	7.108	5.04	6.074
687	mouth	chew	7.145	4.999	6.072
1651	coach	team	5.124	6.999	6.061
1771	pocket	jacket	5.76	6.363	6.061
132	monkey	banana	6.052	6.056	6.054
1770	chicken	pork	6.924	5.184	6.054
1103	ash	smoke	5.254	6.835	6.045
552	pet	hamster	7.69	4.393	6.042
1818	rib	bone	5.379	6.703	6.041
773	gun	bullet	8.042	4.027	6.035
1656	friend	neighbor	7.609	4.459	6.034
720	tale	story	3.885	8.158	6.021
1459	bark	bite	5.156	6.882	6.019
1902	pit	hole	5.693	6.308	6
1699	buy	sell	7.028	4.961	5.994
133	string	wire	5.445	6.541	5.993
569	pepper	salt	5.088	6.888	5.988
1926	novel	story	3.801	8.158	5.98
1848	flea	pet	4.262	7.69	5.976
1561	lie	truth	7.394	4.552	5.973
725	breeze	air	3.022	8.911	5.967
709	whole	part	4.816	7.105	5.96
1815	ape	monkey	5.85	6.052	5.951
332	doctor	medicine	7.019	4.877	5.948
1552	cut	trim	7.918	3.976	5.947
1731	roof	ceiling	6.585	5.307	5.946
1124	shape	form	6.126	5.757	5.941
1126	avenue	street	3.961	7.902	5.932
1038	slice	pie	3.907	7.947	5.927
1644	radio	station	7.095	4.755	5.925
155	finish	end	3.925	7.912	5.919
1813	money	earn	8.313	3.522	5.917
1839	body	flesh	8.502	3.32	5.911
1557	soil	dirt	5.459	6.361	5.91
28	dinner	menu	6.769	5.04	5.905
1334	mug	coffee	5.282	6.525	5.904
1013	potato	corn	5.78	5.996	5.888
278	guess	sure	5.283	6.49	5.887
1946	chocolate	candy	5.522	6.242	5.882
1675	heart	soul	7.676	4.079	5.878
1898	note	message	7.307	4.423	5.865
1547	blood	sweat	7.931	3.798	5.864
548	milk	dairy	8.484	3.237	5.861
1786	ship	crew	7.204	4.509	5.857
1012	kick	beat	6.87	4.837	5.853
1230	jeep	truck	4.365	7.336	5.85
1646	shed	tool	4.672	6.971	5.822
54	noodle	chicken	4.69	6.924	5.807
924	fine	okay	4.227	7.387	5.807
1112	turn	knob	7.583	4.03	5.806
1104	track	race	5.508	6.093	5.8
1101	bow	arrow	6.477	5.103	5.79
786	tomato	salad	6.279	5.283	5.781
1738	surf	beach	3.795	7.767	5.781
245	alley	street	3.651	7.902	5.777
1008	weed	grass	4.638	6.906	5.772
1665	carry	lift	5.877	5.667	5.772
342	guest	hotel	4.936	6.597	5.767
679	tower	building	5.858	5.677	5.767
1130	tornado	wind	3.625	7.9	5.762
1884	cake	slice	7.614	3.907	5.76
1774	task	job	3.932	7.575	5.754
1127	circle	globe	6.302	5.193	5.748
1345	scout	camp	4.284	7.206	5.745
1814	war	battle	6.466	5.014	5.74
328	file	report	5.306	6.154	5.73
921	tune	song	3.747	7.706	5.727
143	badge	gun	3.395	8.042	5.718
1572	safe	lock	5.333	6.104	5.718
449	dollar	dime	7.096	4.326	5.711
574	number	dial	7.487	3.935	5.711
1693	oil	fuel	6.277	5.139	5.708
582	reach	higher	5.976	5.417	5.696
468	infant	adult	4.625	6.75	5.688
1331	deer	forest	5.959	5.41	5.685
1375	before	after	5.521	5.846	5.684
1821	pony	ride	5.123	6.246	5.684
1257	mad	yell	5.606	5.722	5.664
1252	freeze	heat	5.191	6.106	5.649
349	pillow	blanket	5.59	5.696	5.643
1700	walk	jog	8.127	3.152	5.639
6	post	package	6.385	4.875	5.63
1329	train	rail	7.851	3.407	5.629
1790	site	area	5.086	6.15	5.618
12	chair	stool	7.724	3.491	5.607
1022	bedroom	closet	6.096	5.115	5.606
1736	shell	crab	5.694	5.466	5.58
1663	bloom	flower	3.665	7.484	5.574
1332	time	moment	8.306	2.841	5.573
232	nurse	patient	5.631	5.512	5.572
29	trunk	bag	2.906	8.232	5.569
1015	report	officer	6.154	4.98	5.567
779	news	weather	6.94	4.185	5.562
1909	restaurant	bar	4.288	6.822	5.555
1451	sugar	fudge	7.197	3.911	5.554
1842	pool	dive	7.206	3.896	5.551
126	plan	idea	5.762	5.317	5.54
1253	idea	plan	5.317	5.762	5.54
681	soap	sponge	7.158	3.914	5.536
1025	scene	film	3.887	7.179	5.533
1845	iron	metal	5.249	5.807	5.528
1773	mall	shop	4.258	6.788	5.523
1438	bush	shrub	8.546	2.487	5.516
450	mile	inch	5.308	5.713	5.51
1450	club	member	6.452	4.569	5.51
234	wave	tide	6.843	4.148	5.496
1021	morning	evening	6.894	4.099	5.496
229	boot	heel	6.966	4.013	5.489
1591	necklace	ring	3.351	7.594	5.472
128	chalk	ink	5.045	5.883	5.464
1565	angel	heaven	7.164	3.764	5.464
1714	wind	breeze	7.9	3.022	5.461
1661	suite	room	2.063	8.801	5.432
1240	frost	winter	4.823	6.032	5.427
1456	trash	dump	6.248	4.603	5.425
121	lunch	afternoon	7.246	3.595	5.421
1136	nice	neat	6.519	4.321	5.42
1820	nail	hammer	5.972	4.853	5.413
1117	cloud	fog	6.358	4.449	5.404
1900	line	straight	8.075	2.725	5.4
1915	wash	laundry	6.985	3.805	5.395
1035	minute	hour	4.306	6.46	5.383
1653	belly	stomach	5.871	4.893	5.382
239	orange	peel	7.003	3.74	5.372
1743	west	south	5.628	5.108	5.368
1242	trail	track	5.22	5.508	5.364
1928	skull	brain	4.102	6.625	5.363
1766	code	rule	4.452	6.27	5.361
266	dentist	brush	4.294	6.414	5.354
268	crumb	bread	3.449	7.259	5.354
1718	light	darkness	7.981	2.727	5.354
1876	trip	vacation	6.947	3.755	5.351
1009	oven	stove	5.297	5.384	5.341
793	prison	cell	4.531	6.132	5.332
1911	cell	prison	6.132	4.531	5.332
1028	bunch	pile	5.462	5.119	5.29
1149	scent	flower	3.093	7.484	5.288
1481	jelly	jar	4.577	5.984	5.28
1170	paragraph	page	2.352	8.193	5.272
677	state	capital	7.102	3.434	5.268
1225	plum	peach	5.095	5.437	5.266
1046	trace	find	3.257	7.252	5.255
1852	rocket	space	5.044	5.465	5.254
1745	berry	grape	4.521	5.984	5.252
1460	mule	ox	4.597	5.882	5.24
562	bite	scratch	6.882	3.586	5.234
